Product ID,Date of entry,Name or acronym of Researcher entering the data,"Retailer",Supermarket,"Product category",Frozen (yes/no),Product type,Complete product Name,Store brand (Yes / No),Brand,Name of Production Company (if stated),Country of production (if stated),Name of distribution Company (if stated),Address of distribution Company (if stated),Product Weight,g /l,Prize in Euro,Barcode Number (number below barcode),Organic? (Yes/No),Energy,kj / kcal,protein,carbohydrates,Sugar,Fett,saturated fat,Salt,Green claim? (Yes / No),Description,Number Ingreadeants,Number Labels,Number pakaging material
__005_000001,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Schoko Milch Minis,,,,,,,,,,,,,,,,,,,,,,25,2,0
__005_000002,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Korn-fit,,,,,,,,,,,,,,,,,,,,,,26,1,0
__005_000003,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Schoko Waffeln,,,,,,,,,,,,,,,,,,,,,,10,2,0
__005_000004,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Chocolate Chip Cookies,,,,,,,,,,,,,,,,,,,,,,19,2,0
__005_000005,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Choco Snack,,,,,,,,,,,,,,,,,,,,,,18,2,0
__005_000006,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Gebäckmischung (2),,,,,,,,,,,,,,,,,,,,,,0,1,0
__005_000007,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Mandel Spekulatius,,,,,,,,,,,,,,,,,,,,,,9,1,0
__005_000008,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Vollkornbutterkeks,,,,,,,,,,,,,,,,,,,,,,9,1,0
__005_000009,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Bio Vollkornhafergebäck,,,,,,,,,,,,,,,,,,,,,,14,6,0
__005_000010,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Choco Coeur,,,,,,,,,,,,,,,,,,,,,,23,2,0
__005_000011,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Schoko Karamell Taler,,,,,,,,,,,,,,,,,,,,,,19,1,0
__005_000012,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Granada,,,,,,,,,,,,,,,,,,,,,,17,1,0
__005_000013,11.08.2016,AP,,Hofer,Snacks and Sweets,No,Cookies,Kaffeegebäck Spezialitäten,,,,,,,,,,,,,,,,,,,,,,10,0,0
__1005_000014,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Haselnusscookies,,,Banketbakkerij,Niederlande,,,,,,,,,,,,,,,,,,12,2,0
__1005_000015,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Butterwaffeln,yes,Merkur immer gut,Destrooper-Olivier,Belgien,,,,,,,,,,,,,,,,,,8,0,0
__1005_000016,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Cookie Chips,,Bahlsen,Bahlsen,Deutschland,,,,,,,,,,,,,,,,,,12,1,0
__1005_000017,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Applepie Cookies,,Merkur immer gut,Banketbakkerij,Niederlande,,,,,,,,,,,,,,,,,,14,0,0
__1005_000018,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Getreidekekse,,Merkur immer gut,Banketbakkerij,Niederlande,,,,,,,,,,,,,,,,,,12,0,0
__1005_000019,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Kakaokeks,yes,Merkur immer gut,Bisquiva,Deutschland,,,,,,,,,,,,,,,,,,11,1,0
__1005_000020,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Waffeletten,no,Bahlsen,Bahlsen,Deutschland,,,,,,,,,,,,,,,,,,11,1,0
__Lidl005_000021,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Firone Gebäckmischung,Yes,Sondey,,,Inter Biscuits GmbH,,,,,,,,,,,,,,,,,30,1,0
__1005_000022,02.11.2016,Kate Heschl,1,Merkur,Snacks and Sweets,No,Cookies,Vanillekipferl,yes,Merkur immer gut,Temizkan&Co,Österreich,,,,,,,,,,,,,,,,,,7,0,0
__Lidl005_000023,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Carré Milch-Haselnuss 10x,Yes,Sondey,,,Compliment GmbH,"Johann Galler-Str. 9, A-2120 Wolkersdorf",,,,,,,,,,,,,,,,0,1,0
__Lidl005_000024,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Ambito Vollmilch,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdingen",,,,,,,,,,,,,,,,0,2,0
__Lidl005_000025,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Ambito Zartbitter,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdingen",,,,,,,,,,,,,,,,20,2,0
__Lidl005_000026,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Biscino Zartbitter,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdingen",,,,,,,,,,,,,,,,17,2,0
__Lidl005_000027,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Biscino Black & White,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdingen",,,,,,,,,,,,,,,,17,1,0
__Lidl005_000028,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Biscino Vollmilch,Yes,Sondey,,,Inter Biscuits GmbH,"Postfach 1144, D-29634 Schneverdingen",,,,,,,,,,,,,,,,19,2,0
__Lidl005_000029,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Chocolate Cookies mit 50% Schokostückchen,Yes,Fairglobe,,,Flämische Keksfabrik GmbH,"Arnoldstr. 62, D-47906 Kempen",,,,,,,,,,,,,,,,19,1,0
__Lidl005_000030,06.11.2016,Natalie Lehner,Lidl,Lidl,Snacks and Sweets,No,Cookies,Cuoricini,Yes,Sondey,,,BIANCOFORNO SPA,"Via Mazzei 1, I-56012 Fornacette (Pl)",,,,,,,,,,,,,,,,10,0,0
