Product ID,Retailer,Product Name,StoreBrand,Ingredient 1,%,origin,Ingredient 2,%,origin,Ingredient 3,%,origin,Ingredient 4,%,origin,Ingredient 5,%,origin,Ingredient 6,%,origin,Ingredient 7,%,origin,Ingredient 8,%,origin,Ingredient 9,%,origin,Ingredient 10,%,origin,Ingredient 11,%,origin,Ingredient 12,%,origin,Ingredient 13,%,origin,Ingredient 14,%,origin,Ingredient 15,%,origin,Ingredient 16,%,origin,Ingredient 17,%,origin,Ingredient 18,%,origin,Ingredient 19,%,origin,Ingredient 20,%,origin,Ingredient 21,%,origin,Ingredient 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000001,Hofer,Schoko Milch Minis,,Weizenmehl,,,Zucker,,,Kakaobutter,,,Magermilchpulver,,,Kakaomasse,,,Butterreinfett,,,Laktose,,,Sonnenblumenlecithine,,,Aroma,,,Zucker,,,Palmfett,,,Sonnenblumenfett,,,Palmkernfett,,,Süßmolkepulver,,,Magermilchpulver,"1,80 %",,Sonnenblumenöl,,,Laktose,,,Butterreinfett,"0,60 %",,Vollmilchpulver,,,Speisesalz,,,Glukosesirup,,,Ammoniumhydrogencarbonat,,,Natriumhydrogencarbonat,,,Aromen,,,Sonnenblumenlecithine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000002,Hofer,Korn-fit,,Haselnüsse,"4,40 %",,Weizenvollkornmehl,"34,10 %",,Zucker,,,Palmfett,,,Dinkelmehl,"11,40 %",,Haferflocken,,,Haselnüsse,,,Gukose-Fruktose-Sirup,,,Apfelmarkkonzentrat,,,Reismehl,,,Fruktose-Glukose-Sirup,,,Magermilchpulver,,,Ammoniumcarbonate,,,Natriucarbonate,,,Speisesalz,,,Glycerin,,,Aromen,,,Weizengluten,,,Weizenhalmfaser,,,Apfelsäure,,,Citronensäure,,,Blaubeermarkkonzentrat,,,Weizenmalz,,,Färbende Frucht- u. Gemüsekonzentrate,,,Pektine,,,Brombeersaftkonzentrat,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000003,Hofer,Schoko Waffeln,,Zucker,,,Weizenmehl,,,Palmöl,,,Kakaobutter,,,gemahlene Haselnüsse,9.8%,,Kakaomasse,,,Magermilchpulver,,,Natriumcarbonate,,,Hühnereigelbpulver,,,Gewürz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000004,Hofer,Chocolate Chip Cookies,,Zucker,,,Weizenmehl,,,Kakaomasse,,,Palmfett,,,flüssiges Hühnervollei,,,Kakaobutter,,,Magermilchpulver,,,Weizenstärke,,,Glukosesirup,,,Glukose-Fruktose-Sirup,,,Dinatriumdiphosphat,,,Natriumhydrogencarbonat,,,Butterreinfett,,,Sonnenblumenlecithine,,,Speisesalz,,,Karamellzuckersirup,,,Vollmilchpulver,,,Aroma,,,Hühnereiklarpulver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000005,Hofer,Choco Snack,,Zucker,,,Weizenmehl,"0,21",,Palmöl,,,Kakaobutter,,,Kakaomasse,,,Magermilchpulver,,,Vollmilchpulver,"0,06",,Butter,"0,04",,Glukosesirup,,,Milchzucker,,,Butterreinfett,,,Natriumhydrogencarbonat,,,Ammoniumhydrogencarbonat,,,Sonnenblumenlecithine,,,Sojalecithine,,,Süßmolkepulver,,,Kochsalz,,,Citronensäure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000006,Hofer,Gebäckmischung (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000007,Hofer,Mandel Spekulatius,,Weizenmehl,,,Zucker,,,Palmfett,,,gehobelte Mandeln,"0,1",,Karamellzuckersirup,,,Gewürze,,,Salz,,,Natriumhydrogencarbonat,,,Ammoniumhydrogencarbonat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000008,Hofer,Vollkornbutterkeks,,Weizenvollkornmehl,"0,7",,Zucker,,,Butter,"0,13",,Karamellzuckersirup,,,Ammoniumhydrogencarbonat,,,Natriumhydrogencarbonat,,,Speisesalz,,,Vollmilchpulver,,,Natriumcarbonat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000009,Hofer,Bio Vollkornhafergebäck,,Haferflocken,"0,3",,Zucker,"0,25",,Kakaobutter,,,Vollmilchpulver,,,Kakaomasse,"0,11",,Lecithine,,,Natriumhydrogencarbonat,,,Zucker,,,Palmfett,,,Weizenvollkornmehl,,,Invertzuckersirup,,,Salz,,,Zuckerrübensirup,,,natürliches Vanillearoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__005_000010,Hofer,Choco Coeur,,Zucker,,,Kakaomasse,,,Kakaobutter,,,Vollmilchpulver,,,Butterfett,,,Sojalecithine,,,Vaille,,,Palmkernöl,,,Kokosöl,,,Palmöl,,,Zucker,,,Dextrose,,,Magermilchpulver,,,Haselnüsse,"0,07",,Kakaomasse,,,Hühnereiklarpulver,,,Weizemehl,,,Vollmilchpulver,,,Kakaobutter,,,Kartoffelstärke,,,Sonnenblumenöl,,,Sojalecithine,,,Salz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
