Product ID,Retailer,Product Name,StoreBrand,Anzahl,Label 1,No,Label 2,No,Label 3,No,Label 4,No,Label 5,No,Label 6,No,Label 7,No,Label 8,No,Label 9,No
__005_000001,Hofer,Schoko Milch Minis,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__005_000002,Hofer,Korn-fit,Yes,0,,,,,,,,,,,,,,,,,,
__005_000003,Hofer,Schoko Waffeln,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__005_000004,Hofer,Chocolate Chip Cookies,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__005_000005,Hofer,Choco Snack,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__005_000006,Hofer,Gebäckmischung (2),Yes,0,,,,,,,,,,,,,,,,,,
__005_000007,Hofer,Mandel Spekulatius,Yes,0,,,,,,,,,,,,,,,,,,
__005_000008,Hofer,Vollkornbutterkeks,Yes,0,,,,,,,,,,,,,,,,,,
__005_000009,Hofer,Bio Vollkornhafergebäck,Yes,4,DE-ÖKO-005 EU/non-EU Agriculture,,ARGE Bio Standard,,UTZ Certified Kakao,,Ohne Gentechnik,,,,,,,,,,,
__005_000010,Hofer,Choco Coeur,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__005_000011,Hofer,Schoko Karamell Taler,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__005_000012,Hofer,Granada,Yes,1,UTZ Certified,,,,,,,,,,,,,,,,,
__005_000013,Hofer,Kaffeegebäck Spezialitäten,Yes,0,,,,,,,,,,,,,,,,,,
__1005_000014,Merkur,Haselnusscookies,yes,2,UTZ Certified,,Pro Planet,,,,,,,,,,,,,,,
__1005_000015,Merkur,Butterwaffeln,yes,0,,,,,,,,,,,,,,,,,,
__1005_000016,Merkur,Cookie Chips,yes,1,UTZ Certified,,,,,,,,,,,,,,,,,
__1005_000017,Merkur,Applepie Cookies,Bahlsen,0,,,,,,,,,,,,,,,,,,
__1005_000018,Merkur,Getreidekekse,yes,0,,,,,,,,,,,,,,,,,,
__1005_000019,Merkur,Kakaokeks,yes,1,UTZ Certified,,,,,,,,,,,,,,,,,
__1005_000020,Merkur,Waffeletten,Bahlsen,1,UTZ Certified,,,,,,,,,,,,,,,,,
__Lidl005_000021,Lidl,Firone Gebäckmischung,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__1005_000022,Merkur,Vanillekipferl,yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000023,Lidl,Carré Milch-Haselnuss 10x,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__Lidl005_000024,Lidl,Ambito Vollmilch,Yes,2,UTZ Certified Kakao,,DLG jährlich prämiert gold,,,,,,,,,,,,,,,
__Lidl005_000025,Lidl,Ambito Zartbitter,Yes,2,UTZ Certified Kakao,,DLG jährlich prämiert gold,,,,,,,,,,,,,,,
__Lidl005_000026,Lidl,Biscino Zartbitter,Yes,2,UTZ Certified Kakao,,DLG jährlich prämiert gold,,,,,,,,,,,,,,,
__Lidl005_000027,Lidl,Biscino Black & White,Yes,1,UTZ Certified Kakao,,,,,,,,,,,,,,,,,
__Lidl005_000028,Lidl,Biscino Vollmilch,Yes,2,UTZ Certified Kakao,,DLG jährlich prämiert gold,,,,,,,,,,,,,,,
__Lidl005_000029,Lidl,Chocolate Cookies mit 50% Schokostückchen,Yes,1,FAIRTRADE,,,,,,,,,,,,,,,,,
__Lidl005_000030,Lidl,Cuoricini,Yes,0,,,,,,,,,,,,,,,,,,
__Lidl005_000031,Lidl,BIO Dinkel-Honig-Tiere,Yes,1,EU Biosiegel - DE-ÖKO-013 EU-/Nicht-EU-Landwirtschaft,,,,,,,,,,,,,,,,,
