Introduction,,,,,,,,,,,,,,,,,,,,
What?,,,Product and production stages ,,,,Standard setting / scheme management - Credibility (1st dimension),,,,Environmental criteria (2nd dimension),,,Social criteria (3rd dimension),,,Logo on Product,Pocket-size summary,,
Acronym,Management Systems / Product certification,initiator / setting body,raw material,"stuff production (yarn, deying, others)",manufacture,finished product,Governance,"Impact, Monitoring and Risk Assessments",Sustainability Audits,"Traceability, transparency and Consumer Communication",Use of chemicals and Pesticides,Biodiversity &  Ecofriendly Production,Water/Energy use and Emissions,ILO/ living wage / decent income,Business Practice and Ethical Issues,Independent Compliants Mechanism / FAO,,Credibility,Environmental Criteria,Social Criteria
Initiatives for Sustainability Standards (b2b),,History of the initiative and main aims.,,,,,max. 4,max. 6,max.10,max. 6,max. 4,max. 6,max. 4,max. 4,max. 6,max. 4,,"max. 26 (0,1,2,3,4=red; 5,6,7,8,9,10=red/yellow; 11,12,13,14,15=yellow; 16,17,18,19,20=yellow/green; 21,22,23,24,25,26= green","max. 14 (0,1,2 = red; 3,4,5=red/yellow; 6,7,8=yellow;9,10,11=yellow/green; 12,13,14=green)","max. 14 (0,1,2 = red; 3,4,5=red/yellow; 6,7,8=yellow;9,10,11=yellow/green; 12,13,14=green)"
BEPI,Business Environmental Performance Initiative (BEPI),"The Business Environmental Performance Initiative (BEPI) is a business –driven initiative, providing companies with a practical framework that helps to manage and improve environmental sustainability in the supply chain. The BEPI framework is built on the GSCP Environmental Reference Tools and aligned with the Global Reporting Initiative (GRI). By joining BEPI, a company becomes a member of the initiative’s umbrella organisation, the Foreign Trade Association (FTA), which founded BEPI in 2014 and the Business Social Compliance Initiative (BSCI) in 2003. BEPI is not a certification body or scheme. It is a system that supports companies to continuously improve environmental performance in their supply chain through practical support. In 2016, BEPI had 119 members.","Supporting scheme for companies to improve environmental performane, no certification",,,,0,2,0,1,"Environmental Management System (EMS) is mandatory and at the core of the standard. It enables a site to identify, monitor and control its impacts on the environment.  BEPI does not focus on producers and thus does not comprise specific criteria on biodiversity, environmental conservation, the use of genetically modified organisms (GMO) or other criteria for sustainable agriculture ",,,no evaluation*,,,b2b initiatives usually no logo on product,red,no evaluation*,no evaluation*
BSCI,Business Social Compliance Initiative (BSCI),"The Business Social Compliance Initiative is a business-driven initiative for companies committed to improving working conditions in their global supply chain. BSCI’s participants are retailers, importers and brand companies sourcing goods for European markets from international supply chains. To join BSCI you must first become a member of Foreign Trade Association (FTA), the association which runs BSCI and founded it in 2003. In 2016 BSCI had more than 1,900 members.","Generally, BSCI audits are not restricted to any particular sector, product group or service activity, but the initiative also offers industry-specific programmes",,,,0,3,3,2,no evaluation*,,,2,1,1,,red/yellow,no evaluation*,red/yellow
ETI,Ethical Trading Initiative (ETI),"The ETI emerged as a response to campaigns from civil society in the 1990s, which exposed exploitation in the production of consumer goods. It is a multi-stakeholder initiative consisting of companies, trade unions and NGOs. The ETI describes a base code derived from ILO conventions. Member companies need to work towards full compliance of the code. It does not certify products or factories but evaluates a random selection of 20% of annual reports. These are reviewed by the ETI board, which evaluates where progress has been made and where further action is required. If member companies do not make sufficient progress, or fail to honor their membership obligations, ETI can terminate their membership. Currently there are 67 full members. ","The ETI Base Code is applicable to all consumer goods. Moreover, it is increasingly applied to goods not for resale, like construction materials and logistics operations. ETI is also collaborating with government departments on procurement policy, e.g. in the UK.",,,,4,5,no evaluation*,1,no evaluation*,,,4,5,1,,green/yellow,no evaluation*,green/yellow
GLOBALG.A.P,GLOBALG.A.P. / GRASP,"GLOBALG.A.P. is a private sector initiative that sets voluntary standards for certification of production processes of agriculture products around the world. It was founded in 1997 by the Europe-Retailer Produce Working Group (EUREP) and is based on membership. Its holistic approach, the Integrated Farm Assessment (IFA) includes food safety and traceability, biodiversity, animal welfare, and quality management. GLOBALG.A.P. Certification is available for three scopes of production (crops, livestock and acquaculture), consisting of a total of 16 standards. In addition to IFA, the GLOBALG.A.P. Risk Assessment on Social Practices (GRASP) is a voluntary ready-to-use module designed to assess social practices on the farm. Currently, more than 160,000 producers in 120 countries are certified.","Certification covers the process from farm inputs like plant propagation, feed or seedlings and all the farming activities until the products leaves the farm. Afterwards Chain of Custody can be applied.",,,,0,2,2,3,2,4,2,2,1,0,,red/yellow,yellow,red/yellow
GSCP,Global Social Compliance Program (GSCP),"The Global Social Compliance Programme (GSCP) is a corporate-driven programme to promote social and environmental sustainability along global supply chains of retail companies, brand manufacturers, and others. It was launched in 2006 by the world’s largest retailers – Tesco, Wal-Mart, Migros, Carrefour and Metro. GSCP is part of the Consumer Goods Forum (CGF), which is a corporate association that exists since 1953. The CGF is governed by a Board of Directors comprised of 50 CEOs from retailers and manufacturers. Currently, about 400 retailers, manufacturers, service providers, and other stakeholders across 70 countries are members of the CGF. Civil society is consulted through NGO and University representatives in the advisory board of GSCP. GSCP does not verify or certify products or companies. Instead, it offers a suite of voluntary best practice Reference tools that can be used as best practice guidance. Companies, voluntary sustainability standards, auditing bodies or multi-stakeholder initiatives may use the Equivalence Programme (EP) to benchmark their Code of Conduct or standard in terms of social and environmental reference requirements, audit process and methodology. ",Common interpretation of working and environmental requirements at the buyer and supplier level. GSCP will be increasingly used as a harmonised or equivalence system for retailers of consumer goods in Europe.,,,,0,1,0,0,2.5,1,2,2,0,1,,red,yellow,red/yellow
GRI,GRI - Global Reporting Initiative,"GRI is an international, non-profit organization that is specialized in corporate sustainability reporting since 1997. Its history goes back to the early 1990s, when the Coalition for Environmentally Reponsible Economies (CERES) developed a framework for environmental reporting. GRI aims at integrating sustainability management (e.g. on climate change, human rights, corruption, etc.) in every organization’s decision making process. It is currently the most widely used standard on sustainability reporting worldwide. At present, 42 countries and regions reference GRI in their policies. GRI is built upon a multi-stakeholder principle, which ensures the participation and expertise of diverse stakeholders in the development of its standards. The Global Sustainability Standards Board (GSSB) is GRI’s independent standard-setting body. In 2016, the GSSB restructured the GRI G4 Guidelines into a set of modular interrelated GRI Sustainability Reporting Standards (GRI Standards). ","Guidelines for sustainability reporting guidelines, no certification",,,,1,1,no evaluation*,no evaluation*,1,2,4,1,3,2,,red/yellow,yellow,yellow
FLA,FLA,"The FLA is a joint project between companies, NGOs and universities that was established in the United States on the basis of an initiative by the Clinton administration. Companies from numerous different sectors participate in the FLA. The primary responsibility for monitoring working conditions at a produc-
tion facility fall on the scheme’s member companies. Adidas, Apple, Fruit of the Loom, Hugo Boss, Nestlé are members.",,,,,2,4,8,3,no evaluation*,red/yellow mix,,4,4,4,,green/yellow,no evaluation*,green
SA 8000,SA 8000 on socially acceptable practices,"Social Accountability International (SAI) is a non-governmental, not-for-profit organization that promotes human and worker’s rights through the development of a voluntary standard, named SA8000. It was initiated in 1997 and builds upon ILO and UN conventions. SAI partners with trade unions, NGOs, and other civil society organization to carry out research, training and capacity-building programs – but it is not a multi-stakeholder initiative. SAI provides a SA8000 Guidance Document and further development of implementation practices, training courses, local capacity building, etc. Companies can have their workplaces certified. Certification is done by the Social Accountability Accreditation Services (SAAS) and has to be published publicly. The list of more than 3,800 factories, across 69 countries and 65 industrial sectors is published online on the website of SAAS.","When certified SA8000 assesses workplaces against the standards requirements. The standard is applicable to any company worldwide, across all industrial sectors with the exception of maritime, fishing, and offshore workplaces.",,,,1,3,6,no evaluation*,no evaluation*,,,4,4,2,,yellow,no evaluation*,green/yellow
