,Standard setting / scheme management - Credibility (1st Dimension),,,,,,,,,,,,,,,,product certification (b2c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Criteria name,Criteria question,Response options,Explanation of criteria,Scoring,Overall Scoring,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO,UTZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Governance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.1,Scheme structure,Who owns the auditing scheme/certification ?,"* description of scheme owner and emphasis on whether it is owned by companies, or owned by a different group of stakeholders ",Green: The scheme is owned by a broad group of different stakeholders including Civil Society and workers / farmers orgnisations and is not owned by just companies; no Yellow or Red; Grey if not Green,Green or Grey,,Business association Foreign Trade Association (FTA). All members are companies,Business association Foreign Trade Association (FTA). All members are companies,"ETI Board members comprise corporate representatives, NGO and trade union representatives equally","Business association of mostly retailers (GLOBALG.A.P. members vote the board, which in turn directs the Secretariat, Technical Commitees and Focus Groups)","GSCP is part of the Consumer Goods Forum (CGF), which is a corporate association","GRI is an independent organization, developing Sustainability Reporting Standards","Fair Labor Association FLA. FLA members are companies (47 brands and 19 suppliers), universities (around
200), and NGOs. FLA is governed by a board which comprises six representatives fromeach of the above categories.","Social Accountability Initiative (SAI). SAI is not a members organisation. The SAI Board of Directors (11 member) is the highest decision making body for SAI operations, while the SAI multi-stakeholder Advisory Board is responsible for the development and interpretation of the standard.",SAI Platform is registred as an association. Active members are food industry companies,"Juice industry association SGF International e.V.. Members of SGF are trade associations, retailers and comapnies (599)","No organization structure comparable to other schemes, because EC regulation - but responsibilities and national authorities are defined","Since 2014 the scheme is owned by IMOgroup AG, a provider for international inspection and certfication services",Fairtrade International. Fairtrade members are national fairtrade organisation (23) and producer networks (3). Both constitutencies have 50% of decision-making power,"Forest Stewardship Council FSC. FSC membership is open to organisations and individuals. Members (853) join FSC through one of the three chambers - environmental, social or economic. Decision-making power in the general assembly is divided up equally between the chambers. National offices follow the same structure","Global Coffee Platform. 4C Association for a Better Coffee World was split into two in March 2016, forming the standard-setting body GCF and Coffee Assurance Service (CAS), responsible for the scheme's verification functions","MSC. Three governance bodies: Board of Trustees (for strategic direction), which also includes represenatives from the Technical Advisory Board (experts on marine science, policy and saefood supply chains) and the Stakeholder Council (fishing organisations, NGOs, consumer groups, etc.)",Sustainabel Agricultural Network (SAN) and Rainforest Alliance (RA). SAN's 10 members are NGOs working on conservation of biodiversity and rural development. RA is governed by a board of directors,"Roundtable of Sustainable Palm Oil (RSPO). RSPO members include palm oil producers (148), processors or traders (431), consumer goods manufacturers (585), retailers (62), banks/investors (15), an denvironmental and social NGOs (45)","UTZ Foundation. UTZ members are producers and supply chain actors (brands, processors, retailers). UTZ is governed by a supervisory board. The board is a multi-stakeholder body members of which are drawn from the following groups: production; supply chain, civil society, and trade unions. Supervisory board members however do not represent  their stakeholder groupbut rather act in the overall interests of UTZ+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.1,,,,,,detailed scoring,0,0,2,0,0,0,2,0,0,0,0,0,2,2,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.2,Representation of Workers,Are trade unions represented in the scheme's decision-making bodies?,No / Yes,"Red: Trade unions do not have any power of decision or other permanent role in the scheme. However, they may be hear e.g. when the scheme's criteria are drafted or revised. Yellow: Trade unions are represented in permanent advisory bodies, but not in decision-making bodies; Green: Trade unions are represented in the scheme's decision-making bodies","Red, Yellow, Green",,"No, only business representatives","No, only business representatives","Yes, balanced representation of trade unions in the Board","No, only business representatives","No, only CEOs from retailers and manufactures",Multi-stakeholde initiative but no balanced representation of trade unions in all decision making bodies,no,"Yes, trade unions are represented on the Advisory Board and the Standards Committee, whcih is responsible for revising and providing interpretation of the standard","No, only food industry representatives in Executive Committee","No, only industry representatives","Indirect participation of stakeholders, but not transparent and balanced","No, but revision process in based on a broad multi-stakholder consultation","Yes, through membership in national Fair trade organisations. Members of the permanent Workers Rights Advisory Committee also include representatives from the global trade union movement","Yes, MSI with trade union representation","Yes, MSI with trade union representation","MSI with broad stakeholder participation, but no trade union representation in decision making bodies",No,No,No (see above),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.2,,,,,,detailed scoring,0,0,2,0,0,1,0,1,0,0,1,1,2,2,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.3,Sources of finance,How is the scheme financed?,qualitative description,"- An overview of quantitative information on the income sources or financing structure of the scheme (e.g. potentially including type of funding (i.e. financial, assets, manpower, etc), name of funders, amount or %-distribution of income sources). This could be provided in the form of an annex to annual reports.",No scoring,No scoring,"membership fees range between 3,000€ and 30,000€ depending on turnover; certification costs are not made available ","membership fees range between 3,000€ and 30,000€ depending on turnover; certification costs are not made available ","membership fees depending on turnover; foudation stage members pay 1,000€; auditing costs are not made available","Yes, GLOBALG.A.P. is mailnly financed by licensing (81%) and membership fees (10%)","No, the financial structure of CGF is not publicly available","Yes, publicly available on website (annual reports)","Membership fees,
government grants,
foundations, audit fees
(when FLA audit teams
are used).","Yes, public disclosure available on website; audit costs up to $2,500","No, only very brief financial income/expenditure overview in annual report","Yes (in part), financing through membership fees between €3,000 and €50,000",No,"Yes, on request. The administration and management of the scheme is financed exclusively by the revenue from certification business","yes, see annual report, mainly financed by licensing operation","Yes, The organization mainly finances itself through license fees collected from certification bodys  (ca.94% in 2013)",Quantitative information on the income sources available. Major part of revenues is generated by membership fees,"yes, online, main financing through licensing (73%) and donations (24%)","yes, publicly available financial statement. Scheme is alsmost exclusively financed by licensing","yes, on request, mainly financed by subscription of members and contributions from sustainable palm oil trade","yes, programme is primarily financed by licensing and membership fees",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.3,,,,,,detailed scoring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scoring with points (Green = 2; Yellow = 1;  Red = 0; Grey =  No scoring),,,,Max Score = 4,,0,0,4,0,0,1,2,1,0,0,1,1,4,4,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
