,Environmental Criteria (2nd Dimension),,,,,,,,,,,,,,,,product certification (b2c),,,,,,,,
,Criteria name,Criteria question,Response options,Explanation of criteria,Scoring,Overall Scoring,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO,UTZ
,Use of chemicals and pesticides,,,,,,,,,,,,,,,,,,,,,,,,
2.1.1,Use of hazardous chemicals,"Does the scheme prohibit or restrict the use of hazardous chemicals as defined by international conventions (Stockhold and Rotterdam convention, WHO class 1a and 1b, REACH candidate list)? ",,"Red: The use of hazardous chemicals  (refer to ""dirty dozen"" of PAN http://www.pesticideinfo.org/Docs/ref_toxicity7.html) is not restricted or prohibited; Yellow: The use of hazardous chemicals (Pan dirty dozen)  is restricted and/or recommendations exist to phase out the use of such substances; Green: The use of hazardous chemicals is prohibited","Red, Yellow,Green",,"Environmental Management System (EMS) is mandatory and at the core of the standard. It enables a site to identify, monitor and control its impacts on the environment.  BEPI does not focus on producers and thus does not comprise specific criteria on biodiversity, environmental conservation, the use of genetically modified organisms (GMO) or other criteria for sustainable agriculture ",No focus,No focus,"The use of hazardous chemicals is prohibited only, if national legistlation ratified respective international conventions","yes, compliance with prohibited chemicals list, e.g. agrochemicals from the WHO",no reporting requirements,No focus,No focus,only recommendation to phase out hazardous chemicals as defined per international organizations,No explicit criteria,Yes,"yes, list of prohibited agrochemicals with reference to international conventions (Rotterdam, Stockholm)",yes,N.A.,yes,"N.A. for all criteria, because they do not apply to fisheries ","yes, use of chemicals in general should be phased out and instead use of organic materials","yes, except in specific situation identified in national Best Practice guidelines",Yes
2.1.1,,,,,,detailed scoring,0,0,0,0,1,0,0,0,1,0,2,1,1,0,1,0,1,1,1
2.1.2,Use of pesticides,Does the scheme include criteria on Integrated Pest Management (IPM) or other ways to systematically reduce the use of chemical pesticides?,,Red: The scheme does not require Integrated Pest Management (IPM) or other ways to systematically reduce the use of chemical pesticides; Yellow: The scheme  recommends Integrated Pest Management (IPM) or other ways to systematically reduse the use of chemical pesticides ; Green: The  scheme bans the use of synthetical pesticides (organic production) . ,"Red, Yellow,Green",,,,,Yes,"criteria on proactive management to maintain soil fertility, avoid soil erosion and promote soil and biodiversity recover only at level 2 of standard",reporting on direct and indirect impacts on biodiversity,,,"only recommends ""economiccally justifiable"" crop rotation and IPM",,yes,"yes, IPM system adapted to the local contect, but only after 3 years","yes, IPM and adequate training are included but only compulsory after 3 years","yes, and use of pesticide shall be phased out",yes,,yes,"yes, but only recommendation",yes
2.1.2,,,,,,detailed scoring,0,0,0,1,0,1,0,0,1,0,2,1,1,1,1,0,1,1,1
,"Scoring with points (Green = 2; Yellow = 1; Red = 0, Grey = No scoring)",,,,Max score= 6,,0,0,0,1,1,1,0,0,2,0,4,2,2,1,2,0,2,2,2
,Ecofriendly production,,,,,,,,,,,,,,,,,,,,,,,,
2.2.1,Crop rotation and biodiversity,Does the standard include criteria on crop rotation or other criteria supporting sustainable use of soil and agricultural diversity?,,"Red: The scheme does not include criteria on crop rotation or maintenance of biodiversity in / on the fields; Yellow: The scheme only recommends criteria on crop rotation or maintenance of biodiversity; Green: the scheme requires criteria on crop rotation and othe measures to maintenan of biodiversity (e.g. hedgrows, intercropping, fallow land managment,...)","Red, Yellow,Green",,,,,yes,"criteria on proactive management to maintain soil fertility, avoid soil erosion and promote soil and biodiversity recover only at level 2 of standard",reporting on direct and indirect impacts on biodiversity,,,"only recommends ""economiccally justifiable"" crop rotation and IPM",,yes,"yes, , synthetic fertilisers are not used as the sole measure for 
maintaining soil fertility. Adequate overall soil fertility management to ensure long 
term productivity (crop rotation, use of leguminous crops, 
observation of soil life and structure) ","yes, reporting on activities  to protect and enhance biodiversity and preventive measures (inlcuding crop rotation), but only after 3 to 6 years",N.A.,N.A.,,"biodiversity conservation , soil conservation and management (including crop rotation)",N.A,no explicit criteria
2.2.1,,,,,,detailed scoring,0,0,0,1,0,1,0,0,1,0,2,1,1,0,0,0,2,0,0
