Category ID,Category-Name,Sub-Category ID,Sub-Category Name,Criteria ID,Criteria Name,Criteria Question,Action ID,Englisch,Deutsch,Scores for Measures,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO,UTZ,Alnatura,AMA-Biozeichen (rot/weiß),AMA-Gütesiegel,Bio Austria,Bio vom Berg,Demeter,ECHT B!O,Ja Natürlich,Natürlich für uns (Zielpunkt),Natur aktiv (Hofer),Pro Planet – weitere Produkte,Spar Natur Pur,Tierwohl verbessert,Tierwohl kontrolliert,Zurück zum Ursprung,Blühendes Österreich,Ich bin Österreich,Rapunzel,GEPA,"Pro Planet Obst, Gemüse, Eier und Wein"
1,Credibility,1.1,Governance,1.1.1,Scheme structure,Who owns the auditing scheme/certification ?,1.1.1.2,The scheme is owned by a broad group of different stakeholders and is not owned by just companies,"Das Gütesiegel ist Eigentum einer breitgefächerten Gruppe unterschiedlicher Stakeholder, nicht nur von Unternehmen.",2,,,2,,,,2,,,,2,,2,2,2,2,,2,,,2,2,2,2,2,,,,,,,2,2,,,,,2,
1,Credibility,1.1,Governance,1.1.2,Representation of Workers,Can complaints regarding land right violations be filed and are they dealt with and solved accordingly?,1.1.2.1,"Trade unions are represented in permanent advisory bodies, but not in decision-making bodies","Gewerkschaften sind in ständigen Beratungsgremien vertreten, nicht jedoch in Entscheidungsgremien.",1,,,,,,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Credibility,1.1,Governance,1.1.2,Representation of Workers,Are trade unions represented in the scheme's decision-making bodies?,1.1.2.2,Trade unions are represented in the scheme's decision-making bodies,Gewerkschaften sind in den Entscheidungsgremien des Gütesiegel vertreten.,2,,,2,,,,,,,,,,2,2,2,,,,,,,,,2,2,,,,,,,,,,,,,,
1,Credibility,1.1,Governance,1.1.3,Sources of finance,How is the scheme financed?,1.1.3.1,"An overview of quantitative information on the income sources or financing structure of the scheme (e.g. potentially including type of funding (i.e. financial, assets, manpower, etc.), name of funders, amount or %-distribution of income sources). E.g.. provided in the form of an annex to annual reports.","Ein Überblick über quantitative Informationen in Hinblick auf Einnahmequellen oder die Finanzierungsstruktur des Gütesiegels (z.B.   der Art der Finanzierung (d.h. finanztechnisch, Vermögen, Arbeitskräfte etc.), Namen der Geldgeber, Höhe oder prozentuelle Verteilung der Einnahmequellen) z.B. in Form eines Anhangs in Jahresberichten einsehbar.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Credibility,1.2,"Impact, Monitoring and Risk Assessment",1.2.1,Impact measurement,Are the long-term impacts of the scheme's implementation systematically monitored? Have indicators been identified for the assessment of impacts?,1.2.1.1,"The scheme monitors impacts, but does not have set indicators and/or its indicators are inadequate and/or the impacts are not assessed systematically;","Das Gütesiegel monitort seinen Impact, verfügt jedoch nicht über festgelegte Indikatoren und/oder dessen Indikatoren sind ungeeignet und/oder die Einflüsse werden nicht systematisch bewertet;",1,,,1,,,,1,1,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,1,,
1,Credibility,1.2,"Impact, Monitoring and Risk Assessment",1.2.1,Impact measurement,Are the long-term impacts of the scheme's implementation systematically monitored? Have indicators been identified for the assessment of impacts?,1.2.1.2,The scheme monitors the impacts of its work using indicators of a high standard,Das Gütesiegel überwacht die Auswirkungen seiner Arbeit unter Verwendung von Indikatoren mit hohem Standard.,2,,,,,,,,,,,,2,2,,2,,,,2,,,,,,,,,,,,,,,,,,,,2
1,Credibility,1.2,"Impact, Monitoring and Risk Assessment",1.2.2,Adaptive management,Does the scheme owner use the results of monitoring and evaluation for learning and improvements to its programme and are results from M&E made available?,1.2.2.1,"The scheme regularly feeds in the results of monitoring & evaluation in its internal processes, e.g. records of inclusion on the agenda of meetings, policy for when results are considered;","Das Gütesiegel integriert die Ergebnisse der Kontrolle & Bewertung regelmäßig in interne Prozesse, z.B. Protokolle der Aufnahme in die Tagesordnung von Sitzungen, Strategielegung bei Auswertung der Ergebnisse;",1,1,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,
1,Credibility,1.2,"Impact, Monitoring and Risk Assessment",1.2.2,Adaptive management,Does the scheme owner use the results of monitoring and evaluation for learning and improvements to its programme and are results from M&E made available?,1.2.2.2,The scheme regularly feeds in the results of monitoring & evaluation in its internal processes and those information are made publically available,"Das Gütesiegel integriert die Ergebnisse der Kontrollen & Bewertung regelmäßig in interne Prozesse, und diese Informationen werden öffentlich zugänglich gemacht.",2,,,2,,,,2,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,2,,2
1,Credibility,1.2,"Impact, Monitoring and Risk Assessment",1.2.3,Risk Assessment,"Risk Assessment, Environmental or Human Rights Due Diligence",1.2.3.1,"The companies that are being audited have been advised to exercise human rights due diligence or systematic risk assessments, but this is not monitored","Die Unternehmen, welche einer Prüfung unterzogen werden, wurden angehalten, eine Due Diligence in Hinblick auf Menschenrechte oder eine systematische Risikobewertungen durchzuführen, allerdings wird dies nicht überwacht.",1,1,1,,1,1,,1,,,1,1,1,1,1,1,1,1,,,,,,,,1,,,,,1,,,,,,,1,1,
1,Credibility,1.2,"Impact, Monitoring and Risk Assessment",1.2.3,Risk Assessment,"Risk Assessment, Environmental or Human Rights Due Diligence",1.2.3.2,The companies that are being audited are required to exercise human rights due diligence or systematic risk assessments.,"Die Unternehmen, welche einer Prüfung unterzogen werden, müssen eine Due Diligence in Hinblick auf Menschenrechte oder systematische Risikobeurteilungen durchführen.",2,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,Credibility,1.3,Sustainability Audits,1.3.1,Control Bodies,Who monitors the implementation of criteria?,1.3.1.1,Audits are realised through second-party,Audits werden als Second-Party-Audits durchgeführt.,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
