,Social criteria (3rd dimension),,,,,,,,,,,,,,,,product certification (b2c),,,,,,,,
,Criteria name,Criteria question,Response options,Explanation of criteria,Scoring,Overall Scoring,BEPI,BSCI,ETI,GLOBALG.A.P,GSCP,GRI,FLA,SA 8000,SAI Platform,SGF,EU organic,FFL,Fairtrade,FSC,Global Coffee Platform (4C),MSC,Rainforest Alliance,RSPO,UTZ
,Living wage / decent income,,,Labour Rights and Working Conditions,,,,,,,,,,,,,,,,,,,,,
3.1.1,Living wage / decent income,"Is the payment of a living wage a requirement? If so, how is the criterion implemented?",,"Red: Payment of a living wage is not a requirement. Yellow: Payment of a living wage is a requirement, but no sufficient tools exist for the implementation of this criterion or these are only now just being developed. Green: Payment of a living wage is a requirement, and sufficient tools exist for the implementation of this criterion. In order to assess wage payments, audits have to include working time and payment principles like piece rate wages. Standard schemes have to participate in a dialogue with all relevant stakeholders and set a common framework to assess a living wage. At the same time initiatives to increase wages are necessary.",,"Red, Yellow, Green",,"no living wages, but quick scan tool for factories to calculate the living wage of their own workforce","Yes, all members are expected to plan for and work towards living wages, both within their own operations and throughout their supply chains; tools for the implementation and monitoring of a living wage are suggested and publicly available",no requirements for paying a living wage,"no explicit mentionening, but wages should ""meet or exceed legal minimum and/or industry benchmark standards and/or collective agreements, whichever is higher. Wages and compensation for regular working hours shall meet basic needs and provide some discretionary incomefor workers and their families",reporting on ratios of standard entry level wage by gender compared to local minimum wage,"The FLA Workplace Code of Conduct requires each company to attest that their workers have a “right
to compensation for a regular work week that is sufficient to meet the worker’s basic needs and provide some discretionary income.”
Beginning in February 2015, the FLA launched its Fair Compensation Work Plan, designed to provide a new framework for member companies to achieve compliance with this requirement. It will not include exact wage that needs to be paid but guides members towards desired wage levels. Member companies
will need to reach compliance by 2018.","Yes, a living wage estimate is conducted and strategies to continuisely increase wages is in place (including a monitoring system). In addition, SAI is part of the Global Living Wage Coalition","recommendation to adhere to national minimum wage (a living wage is not implemented. ""Living wage will be discussed as part of the next revision process, with input from key stakeholders"")",,,"In principle fair remuneration for work and  at least a wage that allows workers to meet basic needs and have some discretionary income, but control point only official minimum wages or industry benchmark standards (living wage is part of the next revision proess 2017)","If renumeration is below
the living wage
benchmark the company
must ensure
that real wages are
increased annually to
close the gap. The incremental
steps and
timeline toward the applicable
living wage are
negotiated with trade
union/elected worker
representatives. Living
wage benchmarks
are being developed by
the Global Living Wage
Coalition of which Fairtrade
is a member.","The organization shall pay wages that meet or exceed minimum forestry industry standards or other recognized forest industry wage agreements, or living wages (defined as sufficient income for sustain an average-sized family in a particular economy), where these are higher than the legal minimum wage.",living wages or wages above existing national minimum wages or sector agreements are paid is considered best practice,,"at least minimum wage or industry benchmark, revision of 2017 seeks to increase the base wage, member of the Global Living Wages Coalition","no, at least not effective, because National Interpretation will define a Decent Living Wage. Where there is no National Interpretation, the legal minimum wage will be used.","at least minimum wages have to be paid, some operations have to envisage living wages (UTZ is member of Global Living Wages Coalition)"
3.1.1,,,,,,detailed scoring,0,0,2,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,1
3.1.2,Sub-contractors and temporary workers,Do the standard's rights and benefits for workers also apply to sub-contracted and/or temporary workers?,,"Subcontracting refers to outsourced or sub-contracted labour from employment agencies as opposed to a formal employee relationship with formal rights and protections. These sub-contracted workers need to be granted the same rights as formal employees and producers shall not use sub-contracted labour to avoid their obligations. Though placed under the topic Labour Rights, this includes benefits and rights of other sections (e.g. health and safety), too.",Red= No equal standards for subcontracted and/or temporary workers; Yellow: Standard's rights and benefits apply to all workers; No green,"Red, Yellow",,yes,yes,Yes,yes,Disclosure of benefits provided to full-time employees that are not provided to temporary - or part-time employees,Yes,Yes,No,"No. The system is currently
under review.",,yes,yes,"yes, preculsion of subcontracting in CoC Standard","not necessarily, seasonal and piece rate workers have to receive a minimum wage but no other social benefits",,"yes, the farm must offer equal pay, training, and promotion opportunities and benefits to all workers for the same type of work",yes,"Yes, seasonal workers and temporary contract workers have the same rights and benefits"
3.1.2,,,,,,detailed scoring,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1
,Scoring with points (Green = 2; Yellow = 1; Red = 0; Grey = No scoring),,,,Max Score = 4,,0,1,3,1,1,2,3,3,0,0,0,1,2,1,1,0,1,1,2
,Freedom of Association and collective bargaining / complains mechanism,,,Labour Rights and Working Conditions,,,,,,,,,,,,,,,,,,,,,
3.2.1,ILO core labour standards,"Does the standard include criteria on freedom of association and the right to organize as described in ILO 87, 98, 100, 184?",,no scoring,"Red=No provisions of ILO core labour standards, Yellow=Core Labour Standards are a compulsory requirement; No green ",No scoring,"No focus, see BSCI",Yes,Yes,Yes,Yes,N.A.,yes,yes,"yes, but only recommende","yes, but only in part",,yes,yes,yes,yes,,yes,yes,yes
