Label Name,Food products,Non-food,Product / Organisation,BtoB / BtoC,if retailers own label retailer name,Country name (if country specific) or international,Short description English (Explanation text for the Guide),Short description TRANSLATED (Explanation text for the Guide),Credibility,Environment,Social,Animal Welfare
BEPI,n.a.,,Organisation,BtoB,,international,"The Business Environmental Performance Initiative (BEPI) is a business –driven initiative, providing companies with a practical framework that helps to manage and improve environmental sustainability in the supply chain. The BEPI framework is built on the GSCP Environmental Reference Tools and aligned with the Global Reporting Initiative (GRI). By joining BEPI, a company becomes a member of the initiative’s umbrella organisation, the Foreign Trade Association (FTA), which founded BEPI in 2014 and the Business Social Compliance Initiative (BSCI) in 2003. BEPI is not a certification body or scheme. It is a system that supports companies to continuously improve environmental performance in their supply chain through practical support. In 2016, BEPI had 119 members.",,1,1,1,1
BSCI,n.a.,,Organisation,BtoB,,international,"The Business Social Compliance Initiative is a business-driven initiative for companies committed to improving working conditions in their global supply chain. BSCI’s participants are retailers, importers and brand companies sourcing goods for European markets from international supply chains. To join BSCI you must first become a member of Foreign Trade Association (FTA), the association which runs BSCI and founded it in 2003. In 2016 BSCI had more than 1,900 members.",,2,1,1,1
ETI,n.a.,,Organisation,BtoB,,international,"The ETI emerged as a response to campaigns from civil society in the 1990s, which exposed exploitation in the production of consumer goods. It is a multi-stakeholder initiative consisting of companies, trade unions and NGOs. The ETI describes a base code derived from ILO conventions. Member companies need to work towards full compliance of the code. It does not certify products or factories but evaluates a random selection of 20% of annual reports. These are reviewed by the ETI board, which evaluates where progress has been made and where further action is required. If member companies do not make sufficient progress, or fail to honor their membership obligations, ETI can terminate their membership. Currently there are 67 full members.",,3,1,3,1
GLOBALG.A.P,"all types of agricultural raw materials (plants, animals, fish)",,Product,BtoB,,international,"GLOBALG.A.P. is a private sector initiative that sets voluntary standards for certification of production processes of agriculture products around the world. It was founded in 1997 by the Europe-Retailer Produce Working Group (EUREP) and is based on membership. Its holistic approach, the Integrated Farm Assessment (IFA) includes food safety and traceability, biodiversity, animal welfare, and quality management. GLOBALG.A.P. Certification is available for three scopes of production (crops, livestock and acquaculture), consisting of a total of 16 standards. In addition to IFA, the GLOBALG.A.P. Risk Assessment on Social Practices (GRASP) is a voluntary ready-to-use module designed to assess social practices on the farm. Currently, more than 160,000 producers in 120 countries are certified.",,2,1,1,1
GSCP,n.a.,,Organisation,BtoB,,international,"The Global Social Compliance Programme (GSCP) is a corporate-driven programme to promote social and environmental sustainability along global supply chains of retail companies, brand manufacturers, and others. It was launched in 2006 by the world’s largest retailers – Tesco, Wal-Mart, Migros, Carrefour and Metro. GSCP is part of the Consumer Goods Forum (CGF), which is a corporate association that exists since 1953. The CGF is governed by a Board of Directors comprised of 50 CEOs from retailers and manufacturers. Currently, about 400 retailers, manufacturers, service providers, and other stakeholders across 70 countries are members of the CGF. Civil society is consulted through NGO and University representatives in the advisory board of GSCP. GSCP does not verify or certify products or companies. Instead, it offers a suite of voluntary best practice Reference tools that can be used as best practice guidance. Companies, voluntary sustainability standards, auditing bodies or multi-stakeholder initiatives may use the Equivalence Programme (EP) to benchmark their Code of Conduct or standard in terms of social and environmental reference requirements, audit process and methodology.",,1,1,1,1
GRI,n.a.,,Organisation,BtoB,,international,"GRI is an international, non-profit organization that is specialized in corporate sustainability reporting since 1997. Its history goes back to the early 1990s, when the Coalition for Environmentally Reponsible Economies (CERES) developed a framework for environmental reporting. GRI aims at integrating sustainability management (e.g. on climate change, human rights, corruption, etc.) in every organization’s decision making process. It is currently the most widely used standard on sustainability reporting worldwide. At present, 42 countries and regions reference GRI in their policies. GRI is built upon a multi-stakeholder principle, which ensures the participation and expertise of diverse stakeholders in the development of its standards. The Global Sustainability Standards Board (GSSB) is GRI’s independent standard-setting body. In 2016, the GSSB restructured the GRI G4 Guidelines into a set of modular interrelated GRI Sustainability Reporting Standards (GRI Standards).",,1,2,2,1
FLA,n.a.,,Organisation,BtoB,,international,"The FLA is a joint project between companies, NGOs and universities that was established in the United States on the basis of an initiative by the Clinton administration. Companies from numerous different sectors participate in the FLA. The primary responsibility for monitoring working conditions at a produc-
tion facility fall on the scheme’s member companies. Adidas, Apple, Fruit of the Loom, Hugo Boss, Nestlé are members.",,2,1,3,1
SA 8000,n.a.,,Organisation,BtoB,,international,"Social Accountability International (SAI) is a non-governmental, not-for-profit organization that promotes human and worker’s rights through the development of a voluntary standard, named SA8000. It was initiated in 1997 and builds upon ILO and UN conventions. SAI partners with trade unions, NGOs, and other civil society organization to carry out research, training and capacity-building programs – but it is not a multi-stakeholder initiative. SAI provides a SA8000 Guidance Document and further development of implementation practices, training courses, local capacity building, etc. Companies can have their workplaces certified. Certification is done by the Social Accountability Accreditation Services (SAAS) and has to be published publicly. The list of more than 3,800 factories, across 69 countries and 65 industrial sectors is published online on the website of SAAS.",,1,1,2,1
SAI Platform,n.a.,,Organisation,BtoB,,international,"The SAI Platform is a corporate-driven initiative that was founded by Nestlé, Unilever and Danone in 2002. It aims at ensuring a constant, increasing and safe supply of agricultural raw materials. The primary pillars of their work are capacity building for members and relevant stakeholders and communicating about sustainable agriculture towards food industries as well as food chain stakeholders. Currently, the platform counts more than 90 active and affiliate members, mostly comprising major brands and corporations, like Unilever, Coca-Cola, Cargill, McDonalds and Tesco. SAI Platform develops (or co-develops) tools and guidance to support global and local sustainable sourcing and agriculture practices. Examples of recently developed resources include: Practitioner’s Guide for Sustainable Sourcing; recommendations for Sustainability Performance Assessment (SPA); and the Farm Sustainability Assessment (FSA).",,1,1,1,1
SGF,n.a.,,Organisation,BtoB,,international,"SGF International is a private-sector initiative of food juice industry. It works with a voluntary control system (FKS), primarily checking food safety and quality in accordance with legislation. The responsibility to fulfill related due diligence and to ensure legal compliance remains with the participant. SGF certifies companies who process fruits, bottling plants, traders and agents of fruit juice as well as transport companies and refrigerated warehouse. The organisation has developed from the Schutzgemeinschaft der Fruchtsaft-Industrie, which was founded in 1974. Currently more than 650 companies in 60 countries are members.",,1,1,1,1
